일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2019/12/30","2197.67","-6.54","-0.30","2202.62","2208.04","2195.65","416403484","4113597620249","1475909365805673"
"2019/12/27","2204.21","6.28","0.29","2183.70","2215.55","2177.40","490167721","5429665474516","1480287930817891"
"2019/12/26","2197.93","7.85","0.36","2192.22","2198.01","2183.90","571309392","4795109701596","1477949500778766"
"2019/12/24","2190.08","-13.63","-0.62","2206.23","2206.23","2187.58","569967811","4756454527367","1472110435243032"
"2019/12/23","2203.71","-0.47","-0.02","2208.22","2209.20","2196.43","502034303","4734276390048","1480981911312646"
"2019/12/20","2204.18","7.62","0.35","2205.57","2206.82","2194.80","646682877","5020842974443","1481266967974889"
"2019/12/19","2196.56","1.80","0.08","2199.42","2204.73","2186.59","643143837","5262211883061","1476809948465847"
"2019/12/18","2194.76","-0.92","-0.04","2194.92","2204.04","2187.32","591106012","5519070176261","1476402879307537"
"2019/12/17","2195.68","27.53","1.27","2179.40","2196.01","2171.09","599534417","6380891091394","1476694264006596"
"2019/12/16","2168.15","-2.10","-0.10","2168.05","2175.01","2166.29","377053514","4561208146256","1457529847044934"
"2019/12/13","2170.25","32.90","1.54","2164.63","2170.25","2159.45","540027181","6253215577014","1458776009201296"
"2019/12/12","2137.35","31.73","1.51","2120.13","2138.93","2120.13","584636816","8339490220448","1436302523894557"
"2019/12/11","2105.62","7.62","0.36","2098.28","2109.22","2092.48","668731150","4837220508223","1414435813888684"
"2019/12/10","2098.00","9.35","0.45","2081.22","2100.48","2080.16","500064261","4172974520829","1409366036607606"
"2019/12/09","2088.65","6.80","0.33","2091.94","2093.81","2084.31","393126953","3982512343332","1403184168535184"
"2019/12/06","2081.85","21.11","1.02","2072.44","2084.44","2070.17","440188497","4215044189346","1398777599963871"
"2019/12/05","2060.74","-8.15","-0.39","2078.31","2084.29","2053.56","472188080","4625010545391","1384402799834103"
"2019/12/04","2068.89","-15.18","-0.73","2070.84","2072.91","2057.45","347002806","5085778612114","1389618755691825"
"2019/12/03","2084.07","-7.85","-0.38","2075.02","2085.71","2066.60","450039650","4709539668026","1399615357936707"
"2019/12/02","2091.92","3.96","0.19","2097.55","2103.87","2088.92","385343942","4515836173554","1404938498708406"
