Level,Vocabulary,Word class
1,가게,명사
1,가격,명사
1,가구,명사
1,가깝다,형용사
1,가다,동사
1,가르치다,동사
1,가방,명사
1,가볍다,형용사
1,가수,명사
1,가요,명사
1,가운데,명사
1,가을,명사
1,가장,부사
1,가족,명사
1,가지,의존명사
1,가지다,동사
1,갈비,명사
1,갈비탕,명사
1,갈아타다,동사
1,감,명사
1,감기,명사
1,감사,명사
1,값,명사
1,같다,형용사
1,같이,부사
1,개,명사
1,개,의존명사
1,거기,대명사
1,거실,명사
1,건강,명사
1,건너편,명사
1,건물,명사
1,걷다,동사
1,걸다,동사
1,걸리다,동사
1,것,의존명사
1,게임,명사
1,겨울,명사
1,계속,명사
1,계속,부사
1,계시다,동사
1,계절,명사
1,계획,명사
1,고기,명사
1,고르다,동사
1,고맙다,형용사
1,고양이,명사
1,고프다,형용사
1,고향,명사
1,곳,명사
1,공부,명사
1,공원,명사
1,공책,명사
1,공항,명사
1,과일,명사
1,괜찮다,형용사
1,교실,명사
1,교통,명사
1,구,관형사
1,구,수사
1,구경,명사
1,구두,명사
1,구십,관형사
1,구십,수사
1,구월,명사
1,국적,명사
1,권,의존명사
1,귀,명사
1,귤,명사
1,그,대명사
1,그,관형사
1,그것,대명사
1,그래,감탄사
1,그래서,부사
1,그러니까,부사
1,그러면,부사
1,그런데,부사
1,그럼,부사
1,그럼,감탄사
1,그렇다,형용사
1,그렇지만,부사
1,그릇,명사
1,그리고,부사
1,그리다,동사
1,그림,명사
1,그저께,명사
1,그저께,부사
1,그쪽,대명사
1,극장,명사
1,근처,명사
1,글,명사
1,글쎄요,감탄사
1,금요일,명사
1,기간,명사
1,기다리다,동사
1,기분,명사
1,기쁘다,형용사
1,기숙사,명사
1,기차,명사
1,길,명사
1,길다,형용사
1,김밥,명사
1,김치,명사
1,김치찌개,명사
1,깨끗하다,형용사
1,꼭,부사
1,꽃,명사
1,끄다,동사
1,끝나다,동사
1,나,명사
1,나,대명사
1,나가다,동사
1,나다,동사
1,나라,명사
1,나무,명사
1,나쁘다,형용사
1,나오다,동사
1,나중,명사
1,날,의존명사
1,날,명사
1,날씨,명사
1,날짜,명사
1,남대문,명사
1,남동생,명사
1,남산,명사
1,남자,명사
1,남편,명사
1,낮,명사
1,낮다,형용사
1,내,대명사
1,내년,명사
1,내리다,동사
1,내일,부사
1,내일,명사
1,냉면,명사
1,너,대명사
1,너무,부사
1,넓다,형용사
1,넣다,동사
1,네,관형사
1,네,감탄사
1,넷,수사
1,년,의존명사
1,노래,명사
1,노래방,명사
1,놀다,동사
1,농구,명사
1,높다,형용사
1,누구,대명사
1,누나,명사
1,눈,명사
1,눈,명사
1,뉴스,명사
1,늦다,동사
1,늦다,형용사
1,다,명사
1,다,부사
1,다녀오다,동사
1,다니다,동사
1,다르다,형용사
1,다른,관형사
1,다리,명사
1,다섯,관형사
1,다섯,수사
1,다시,부사
1,다음,명사
1,단어,명사
1,닫다,동사
1,달,의존명사
1,달,명사
1,달다,형용사
1,담배,명사
1,대답,명사
1,대사관,명사
1,대학,명사
1,대학교,명사
1,대학생,명사
1,대화,명사
1,더,부사
1,덥다,형용사
1,도서관,명사
1,도와주다,동사
1,도착,명사
1,독일,명사
1,돈,명사
1,돌아가다,동사
1,돌아오다,동사
1,돕다,동사
1,동대문,명사
1,동생,명사
1,동안,명사
1,되다,동사
1,된장찌개,명사
1,두,관형사
1,둘,수사
1,뒤,명사
1,드라마,명사
1,드리다,동사
1,듣다,동사
1,들다,동사
1,들다,동사
1,들어가다,동사
1,들어오다,동사
1,등산,명사
1,따뜻하다,형용사
1,딸,명사
1,딸기,명사
1,때,의존명사
1,떡볶이,명사
1,또,부사
1,라면,명사
1,러시아,명사
1,마리,의존명사
1,마시다,동사
1,마음,명사
1,마흔,관형사
1,마흔,수사
1,만,관형사
1,만,수사
1,만나다,동사
1,만들다,동사
1,많다,형용사
1,많이,부사
1,말,명사
1,말다,동사
1,말레이시아,명사
1,말씀,명사
1,맑다,형용사
1,맛,명사
1,맛없다,형용사
1,맛있다,형용사
1,맞다,동사
1,매일,명사
1,매일,부사
1,맵다,형용사
1,머리,명사
1,먹다,동사
1,먼저,명사
1,먼저,부사
1,멀다,형용사
1,멋있다,형용사
1,메뉴,명사
1,며칠,명사
1,명,의존명사
1,명,명사
1,몇,관형사
1,몇,수사
1,모두,부사
1,모두,명사
1,모레,명사
1,모레,부사
1,모르다,동사
1,모자,명사
1,목,명사
1,목요일,명사
1,목욕탕,명사
1,몸,명사
1,못,부사
1,못하다,형용사
1,못하다,동사
1,몽골,명사
1,무겁다,형용사
1,무슨,관형사
1,무엇,대명사
1,문,명사
1,문화,명사
1,묻다,동사
1,물,명사
1,물건,명사
1,뭐,대명사
1,미국,명사
1,미안,명사
1,미용실,명사
1,밑,명사
1,바꾸다,동사
1,바나나,명사
1,바다,명사
1,바람,명사
1,바로,부사
1,바쁘다,형용사
1,바지,명사
1,박물관,명사
1,밖,명사
1,반,명사
1,반,명사
1,반갑다,형용사
1,받다,동사
1,발,명사
1,밤,명사
1,밥,명사
1,방,명사
1,방학,명사
1,배,명사
1,배,명사
1,배,명사
1,배우,명사
1,배우다,동사
1,백,관형사
1,백,수사
1,백만,관형사
1,백만,수사
1,백화점,명사
1,버스,명사
1,번,의존명사
1,번호,명사
1,베트남,명사
1,별로,부사
1,병,명사
1,병원,명사
1,보내다,동사
1,보다,동사
1,보다,부사
1,보통,명사
1,보통,부사
1,볼펜,명사
1,봄,명사
1,부르다,동사
1,부모님,명사
1,부산,명사
1,부엌,명사
1,부탁,명사
1,분,의존명사
1,분,의존명사
1,불,명사
1,불고기,명사
1,불다,동사
1,비,명사
1,비빔밥,명사
1,비싸다,형용사
1,비행기,명사
1,빌리다,동사
1,빠르다,형용사
1,빨리,부사
1,빵,명사
1,사,관형사
1,사,수사
1,사과,명사
1,사귀다,동사
1,사다,동사
1,사람,명사
1,사랑,명사
1,사무실,명사
1,사십,관형사
1,사십,수사
1,사용,명사
1,사월,명사
1,사이,명사
1,사이다,명사
1,사전,명사
1,사진,명사
1,산,명사
1,산책,명사
1,살,의존명사
1,살다,동사
1,삼,관형사
1,삼,수사
1,삼계탕,명사
1,삼십,관형사
1,삼십,수사
1,삼월,명사
1,생각,명사
1,생신,명사
1,생일,명사
1,생활,명사
1,샤워,명사
1,서른,관형사
1,서른,수사
1,서울,명사
1,서점,명사
1,선물,명사
1,선생님,명사
1,설명,명사
1,세,관형사
1,세수,명사
1,셋,수사
1,소개,명사
1,소금,명사
1,손,명사
1,손님,명사
1,쇼핑,명사
1,수박,명사
1,수업,명사
1,수영,명사
1,수영장,명사
1,수요일,명사
1,수첩,명사
1,숙제,명사
1,술,명사
1,쉬다,동사
1,쉽다,형용사
1,슈퍼마켓,명사
1,스물,수사
1,스키,명사
1,슬프다,형용사
1,시,의존명사
1,시,명사
1,시간,의존명사
1,시간,명사
1,시다,형용사
1,시원하다,형용사
1,시월,명사
1,시작,명사
1,시장,명사
1,시청,명사
1,시키다,동사
1,시험,명사
1,식당,명사
1,식사,명사
1,신다,동사
1,신문,명사
1,신발,명사
1,실례,명사
1,싫다,형용사
1,싫어하다,동사
1,십,관형사
1,십,수사
1,십만,관형사
1,십만,수사
1,십이월,명사
1,십일월,명사
1,싱겁다,형용사
1,싸다,형용사
1,쓰다,동사
1,쓰다,동사
1,쓰다,형용사
1,씨,의존명사
1,씻다,동사
1,아,감탄사
1,아기,명사
1,아내,명사
1,아니다,형용사
1,아니요,감탄사
1,아래,명사
1,아르바이트,명사
1,아름답다,형용사
1,아버지,명사
1,아이,명사
1,아이스크림,명사
1,아저씨,명사
1,아주,부사
1,아주머니,명사
1,아직,부사
1,아침,명사
1,아파트,명사
1,아프다,형용사
1,아홉,관형사
1,아홉,수사
1,아흔,관형사
1,아흔,수사
1,안,명사
1,안,부사
1,안경,명사
1,안내,명사
1,안녕,감탄사
1,안녕히,부사
1,앉다,동사
1,알다,동사
1,알리다,동사
1,앞,명사
1,야구,명사
1,약,관형사
1,약,명사
1,약국,명사
1,약속,명사
1,어느,관형사
1,어디,대명사
1,어떤,관형사
1,어떻다,형용사
1,어렵다,형용사
1,어머니,명사
1,어서,부사
1,어제,명사
1,어제,부사
1,억,관형사
1,억,수사
1,언니,명사
1,언제,부사
1,언제,대명사
1,얼굴,명사
1,얼마,명사
1,얼마나,부사
1,없다,형용사
1,에어컨,명사
1,여권,명사
1,여기,대명사
1,여덟,관형사
1,여덟,수사
1,여동생,명사
1,여든,관형사
1,여든,수사
1,여러,관형사
1,여러분,대명사
1,여름,명사
1,여보세요,감탄사
1,여섯,관형사
1,여섯,수사
1,여자,명사
1,여행,명사
1,여행사,명사
1,역,명사
1,연극,명사
1,연습,명사
1,연필,명사
1,열,관형사
1,열,수사
1,열다,동사
1,열쇠,명사
1,열심히,부사
1,영,명사
1,영국,명사
1,영어,명사
1,영화,명사
1,영화관,명사
1,영화배우,명사
1,옆,명사
1,예,감탄사
1,예쁘다,형용사
1,오,관형사
1,오,수사
1,오늘,명사
1,오늘,부사
1,오다,동사
1,오렌지,명사
1,오른쪽,명사
1,오빠,명사
1,오십,관형사
1,오십,수사
1,오월,명사
1,오전,명사
1,오후,명사
