title,artist,popularity,release_date,acousticness,danceability,energy,loudness_db,vocalness,tempo_bpm,lyrics,release_date_int,lyrics_length,duration_ms,valence,artist_popularity,specific_genres,english_ratio,korean_ratio,dps,difficulty_level,difficulty_level_category
Magnetic,아일릿(ILLIT),83,2024/03/25 0:00,0.257,0.797,0.668,-5.819,0.0687,131.067,"Baby
I’m just trying to play it cool
But I just can’t hide that
I want you

Wait a minute 이게 뭐지?
내 심장이 lub-dub
자꾸만 뛰어

저 멀리서도 oh my gosh!
끌어당겨 you’re my crush!
초능력처럼

거대한 자석이 된 것만 같아 my heart
네 모든 게 내 맘에 달라붙어버려 boy

We’re magnetized 인정할게
This time I want

You You You You like it’s magnetic
U U U U U U U U super 이끌림
You You You You like it’s magnetic
U U U U U U U U super 이끌림

BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da Dash-da
Like it’s magnetic
BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da
Baby don’t say no

정반대 같아 our type
넌 J 난 완전 P
S와 N 극이지만
그래서 끌리지

내가 만들래 green light
여잔 배짱이지
So let’s go let’s go
Let’s go let’s go

숨기고 싶지 않아 자석 같은 my heart
내 맘의 끌림대로 너를 향해 갈게 boy

We’re magnetized 인정할게
This time I want

You You You You like it’s magnetic
U U U U U U U U super 이끌림
You You You You like it’s magnetic
U U U U U U U U super 이끌림

No push and pull
전속력으로 너에게 갈게
(In a rush in a rush)
Our chemistry
난 과몰입해 지금 순간에
(Baby you’re my crush you’re my crush)

No push and pull
네게 집중 후회는 안 할래
(Gonna dash gonna dash)
Never holding back
직진해 yeah
This time I want

You You You You like it’s magnetic
U U U U U U U U super 이끌림
You You You You like it’s magnetic
U U U U U U U U super 이끌림

BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da Dash-da
Like it’s magnetic
BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da
Baby don’t say no",1711324800,990,160688.0,0.69,76.0,k-pop,83.33333333,16.66666667,6.161007667,3.303030303030303,고급
The Astronaut,진,82,2022/10/28 0:00,0.00446,0.54,0.761,-5.356,0.0311,124.988,"You and me
끝나지 않을 history
Oh, 나의 우주가 돼 준
우리의 이야기
목적지 없이 흘러가는 저 소행성처럼
나도 그저 떠내려가고 있었어
어둠 속에 찾은 나의 모든 dream
새롭게 시작될 story
When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
I feel this way I’ve never felt
You and me
깨지지 않는 별처럼
너의 꿈이 되어
우주를 여행하는
어두운 길을 비춰주는 저 은하수처럼
너는 나를 향해 빛나고 있었어
어둠 속에 찾은 단 하나의 빛
너에게 향하는 나의 길
When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
I feel this way I never felt
I feel this way I never felt
Oh oh oh oh oh oh oh
When I'm with you
There is no one else
I get heaven to myself
When I’m with you
There is no one else
A life, a sparkle in your eyes
Heaven comin’ through
And I love you
And I love you
Oh oh oh oh oh oh oh",1666915200,551,282463.0,0.215,85.0,k-pop,76.58802178,23.41197822,1.950697968,2.2413793103448274,고급
GGUM,연준,80,2024/09/19 0:00,0.0027,0.874,0.621,-6.867,0.0662,129.052,"Yeah I make it chewy like 껌 질겅
올라타 on this beat no time to 엉기적
넣어 둬 겸손 when I'm on the floor
턱이 빠져도 keep it pop and blow

껌 질겅 껌 질겅

더 크게 키워 that volume
터져 펑 like bubble gum
꿈꿔 왔지 for this moment
Started from 내 방구석

모두 run with me 향해 더 위
혼자 아닌 내 곁엔 ma team
단물 빠질 일 없어
I'm always on fire

Easy thang
흥미 없잖아 어렵게 해 my game
Go hit that 껌 질겅

껌 질겅 껌 질겅
껌 질겅 껌 질겅

Yeah I make it chewy like 껌 질겅
올라타 on this beat no time to 엉기적
넣어 둬 겸손 when I'm on the floor
턱이 빠져도 keep it pop and blow

껌 질겅 껌 질겅

더는 not afraid
몇 번이고 쳐 봤기에 down down down
이 바닥에 stick
버텨 냈고 난 go for 다음 다음 다음

Every minute second
불고 또 뱉어 banger
귀에 착붙 this song
못 떼어 내 마치 Venom

Every day
텁텁한 입을 달래 줄 ma taste
Go hit that 껌 질겅

껌 질겅 껌 질겅
껌 질겅 껌 질겅

Yeah I make it chewy like 껌 질겅
올라타 on this beat no time to 엉기적
넣어 둬 겸손 when I'm on the floor
턱이 빠져도 keep it pop and blow

껌 질겅 껌 질겅

Yeah I make it chewy like 껌 질겅
올라타 on this beat no time to 엉기적
넣어 둬 겸손 when I'm on the floor
턱이 빠져도 keep it pop and blow

껌 질겅 껌 질겅",1726704000,694,151689.0,0.406,70.0,k-pop,67.86743516,32.13256484,4.575150472,2.196969696969697,중급
SHEESH,BABYMONSTER,79,2024/04/01 0:00,0.113,0.774,0.728,-5.079,0.169,140.041,"Da la lun dun
Da la lun dun
Da la lun dun

BABY I’mma MONSTER

Mano a mano
I see you in slow mo’
You know you’re in trouble
Ooh hoo hoo hoo

발버둥 쳐봐
어차피 손바닥
위에서 못 나가
You know that

눈을 뜬 순간
피어나
All eyes on me
불을 질러라

Do or die
On my life
Yeah you ain’t seen nothing yet

Got them all going
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah

B.A.B.Y.M.O.N
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah
Got them all going

Yo hold on 쉿
걍 들이부어라 네 달팽이관에
이건 네 귀에 줄 축복
음악에 맞춰 걍 춤 춰

히비리 합 합 boom boom pow
분위기 타올라 너네들 눈 돌아
띵하니 적잖이 충격일 거야

Crown this queen
홈런은 쳤고 내 다음은 위
어중이떠중이 중간 아님
날 보고 닫혔던 입들 say
Sheesh Sheesh Sheesh

You know what it is
I be running this
Pull up in a ghost
Peek a peek a boo hoo
Vroom vroom
너네 심장에 박동이 pump pump pop
Pedal to the metal
Click clack click
Put’em up to the sky
High high high high

눈을 뜬 순간
피어나
All eyes on me
불을 질러라

Do or die
On my life
Yeah you ain’t seen nothing yet

Got them all going
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah

B.A.B.Y.M.O.N
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah
Got them all going

마음껏 웃어봐
이젠 내 차례니까

천천히 불태워 네가 잠든 사이

Time’s up
올라가 올라가 더

꼭대기 꼭대기로
하늘 위 하늘 위로

Fly away
온 세상을 뒤집어
Come on let’s ride

BABY I’mma MONSTER

B A B Y M O N
Tell a friend tell a friend tell a friend
B A B Y M O N
Tell a friend tell a friend tell a friend

Let's go
Jump jump and let it go
Watch out we on a roll
Rum pump pump pump it up then

Jump jump and let it go
Watch out we on a roll
Rum pump pump pump it up then",1711929600,1054,170356.0,0.461,79.0,k-pop,82.0683112,17.9316888,6.187043603,2.2,중급
CRAZY,LE SSERAFIM (르세라핌) ,78,2024/08/30 0:00,0.00953,0.802,0.899,-2.223,0.126,130.047,"Act like an angel and dress like crazy
All the girls are girling girling
All the girls are girling girling
All the girls are girling girling
All the girly girls

Da da da da da da da da da da da da da
Act like an angel and dress like crazy
Da da da da da da da da da da da da da

Ya 내 심장에 강림
넌 CPR같이
손대면 like 피카츄
백만 볼트 전기 it’s pumping

I'm an otaku bestie
미쳐 that candy's sassy
뉴런의 체계를 갱신
내 머릿속 감옥 탈옥했지

갈릴레오
스스로 심판해 매일
뇌속에선
적당히 미치라 했지
Why can’t you stop?
몰라 육하원칙 따윈 제길 난 그런 재질
내 답은 make me super CRAZY

Crazy crazy crazy crazy
Crazy crazy crazy crazy
Crazy crazy crazy crazy
Act like an angel and dress like crazy

Da da da da da da da da da da da da da
Act like an angel and dress like crazy
Da da da da da da da da da da da da da
Da da da da da

All the girls are girling girling
All the girls are girling girling
All the girls are girling girling
All the girly girls

All the girls are girling girling
All the girls are girling girling
All the girls are girling girling
All the girly girls

Back in the days 미침에 미치지 못했던 me
더이상 내 끌림 앞에 거짓 증언은 않지
무슨 의미 또 무슨 가치 가능과 불가능 이젠 다 쉿
Yeah me and my girls
우린 눈이 멀 것을 알아도 저 태양에 kiss

갈릴레오
스스로 심판해 매일
뇌속에선
적당히 미치라 했지
Why can’t you stop?
몰라 육하원칙 따윈 제길 난 그런 재질
내 답은 make me super CRAZY

Crazy crazy crazy crazy
Crazy crazy crazy crazy
Crazy crazy crazy crazy
Act like an angel and dress like crazy

Da da da da da da da da da da da da da
Act like an angel and dress like crazy
Da da da da da da da da da da da da da
Da da da da da

All the girls are girling girling
All the girls are girling girling
All the girls are girling girling
All the girly girls

All the girls are girling girling
All the girls are girling girling
All the girls are girling girling
All the girly girls",1724976000,1308,164554.0,0.531,81.0,k-pop,86.08562691,13.91437309,7.948758462,3.1818181818181817,고급
ETA,NewJeans,78,2023/07/21 0:00,0.108,0.812,0.749,-6.389,0.0397,134.971,"낭비하지 마 네 시간은 은행
서둘러서 정리해 걔는 real bad
받아주면 안돼
No you better trust me
답답해서 그래
저번에도 봤지만 너 없을 때
걘 여기저기에 눈빛을 뿌리네
아주 눈부시게
Honestly 우리 사이에
He’s been totally lying yeah
내 생일 파티에 너만 못 온 그날
혜진이가 엄청 혼났던 그날
지원이가 여친이랑 헤어진 그날
걔는 언제나 네가 없이 그날
너무 멋있는 옷을 입고 그날
Heard him say
We can go wherever you like
Baby say the words and I’m down
All I need is you on my side
We can go whenever you like
Now where are you?
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
I’ll be there right now, lose that boy on her arm
아파 맘이 네가 걔 못 잊을 때
내 말 믿어 you deserve better than that
내가 도와줄게
걔는 그냥 playin’
Boys be always lying yeah
내 생일 파티에 너만 못 온 그날
혜진이가 엄청 혼났던 그날
지원이가 여친이랑 헤어진 그날
걔는 언제나 네가 없이 그날
너무 멋있는 옷을 입고 그날
Heard him say
We can go wherever you like
Baby say the words and I’m down
All I need is you on my side
We can go wherever you like
Now where are you?
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
Mmhmm
What’s your ETA, what’s your ETA
I’ll be there right now, lose that boy on her arm
Need a boy on my arm
Need a boy on my arm
Want a boy on my arm
Need a boy on my arm",1689897600,850,151373.0,0.841,82.0,k-pop,75.64705882,24.35294118,5.615268245,1.7346938775510203,초급
How Sweet,NewJeans,78,2024/05/24 0:00,0.0816,0.803,0.895,-2.888,0.0623,124.994,"All I know is now
알게 됐어 나 (I know)
그동안 맨날
Always up and down (No more)
생각 또 생각
Spinnin’ ‘round and ‘round
Changing my mind

수상해서 그렇지
이런 헛소리 (No more)
How it’s supposed to be
그만해 cus it’s clear (It’s simple)
It’s like biting an apple

Toxic lover
You’re no better, 거기 숨지 말고 얼른 나와
You little demon in my storyline
Don’t knock on my door, I’ll see you out

And don’t you know how sweet it tastes
(How sweet it tastes)
Ya don’t you know how sweet it tastes
(How sweet it tastes)
Ya don’t you know how sweet it tastes
Now that I’m without you

나 더는 묻지 않을래
(How sweet it tastes)
알려주지 않아도 돼
(How sweet it tastes)
Wow don’t you know how sweet it tastes
Now that I’m without you

모든 게 typical
So I’ve been praying so hard for a miracle
부르고 있어 나의 이름을
더는 안 봐 drama it’s good karma
Done scrolling thousand times
다 알고 있어 뻔한 수작일 뿐이야
완전 쉬운 공식이야
It’s like biting an apple

And don’t you know how sweet it tastes
(How sweet it tastes)
Ya don’t you know how sweet it tastes
(How sweet it tastes)
Ya don’t you know how sweet it tastes
Now that I’m without you

나 더는 묻지 않을래
(How sweet it tastes)
알려주지 않아도 돼
(How sweet it tastes)
Wow don’t you know how sweet it tastes
Now that I’m without you

I won’t wait, I’m feeling
My own way, I’m in it
Cause me and you are di?erent
So I won’t stay, I’m leaving
I won’t wait, I’m feeling
My own way, I’m in it
Cause me and you are di?erent
So I won’t stay, I’m leaving

And don’t you know how sweet it tastes
(How sweet it tastes)
Ya don’t you know how sweet it tastes
(How sweet it tastes)
Ya don’t you know how sweet it tastes
Now that I’m without you

나 더는 묻지 않을래
(How sweet it tastes)
알려주지 않아도 돼
(How sweet it tastes)
Wow don’t you know how sweet it tastes
Now that I’m without you

Toxic lover
You’re no better, 거기 숨지 말고 빨리 나와
You little demon in my storyline
Don’t knock on my door 너 얼른 나가버려

Toxic lover
You’re no better, 거기 숨지 말고 얼른 나와
You little demon in my storyline
Don’t knock on my door, I’ll see you out",1716508800,1428,219026.0,0.757,82.0,k-pop,89.28571429,10.71428571,6.519773908,1.7777777777777777,초급
Supernatural,NewJeans,78,2024/06/21 0:00,0.185,0.699,0.708,-4.182,0.0496,108.887,"Stormy night
Cloudy sky
In a moment you and I

One more chance
너와 나 다시 한번 만나게
서로에게 향하게

My feeling’s getting deeper
내 심박수를 믿어
우리 인연은 깊어
I gotta see the meaning of it

I don’t know what we’ve done
되돌아가긴 싫어
もう知っている

Don’t know what we’ve been sold
見つけられるよ
So it’s sure

Golden moon
Diamond stars
In a moment you and I

Second chance
しょうがない
もう少し待って
너와 내게 향하게

My feeling’s getting deeper
내 심박수를 믿어
우리 인연은 깊어
I gotta see the meaning of it

I don’t know what we’ve done
되돌아가긴 싫어
もう知っている

Don’t know what we’ve been sold
見つけられるよ
So it’s sure

It’s supernatural
It’s supernatural

거짓말 안 할래
너도 말해
Attention we should pay
To what is coming through

We had no idea
It’s crystal clear
Love is here
Sitting next to you

私とあなた
Golden moon
Diamond stars
In a moment we unite",1718928000,536,191000.0,0.863,82.0,k-pop,85.82089552,14.17910448,2.806282723,2.0555555555555554,중급
SPOT!,지코 (ZICO) ,78,2024/04/26 0:00,0.151,0.875,0.782,-3.905,0.078,108.038,"Everything ok my man
Turn the music up

Uhm we’re not going home tonight, alright
네 계획에 없던 party
Up and down round and round
Hit the spot spot spot spot
엎치락뒤치락 정신을 왜 차려 왜

Hey girl where you at
데리러 갈게 send me the address
No dress code 대충 걸치면 돼
우린 꾸밈없고, 나머진 억텐 yeah

농익은 분위기 it’s too sticky
마구 부대껴 어머! 정전기 찌릿
여긴 내 동생 저기는 내 homie
순둥이지만 음악 틀면 눈 돌지

Chillin’ out, we yellin’ out, one more
찐친 바이브 위아래 안 따져
부끄런 I 피식 E를 드러내
포위됐어 넌 now hands in the air

Uhm we’re not going home tonight, alright
네 계획에 없던 party
Up and down round and round
Hit the spot spot spot spot
엎치락뒤치락 정신을 왜 차려 왜

Up and down round and round
Everybody hit the spot
Up and down round and round
Everybody hit the top
Up and down round and round
Everybody make it loud (Make it loud)
Up and down round and round
Ain’t nobody hold us down

어깨 툭툭 he say “Yo JENNIE,
Told you that 도망치면 배신”
Yeah, I know I know
일단 더우니까 바람 쐬러 나가

Bae 나갈 때 뒤로 딱 붙어
땀 뺐으니까 후딱 아이스크림 go
들키면 피곤해져 put your mask on
한바퀴 돌고 퀵하게 조인해

우리 프로젝트 타이틀 명은 J Z
We gon’ run this town, that’s crazy
짱박아 놨던 네 똘끼를 꺼내
해방됐어 넌 now hands in the air

Uhm we’re not going home tonight, alright
네 계획에 없던 party
Up and down round and round
Hit the spot spot spot spot
엎치락뒤치락 정신을 왜 차려 왜

Up and down round and round
Everybody hit the spot
Up and down round and round
Everybody hit the top
Up and down round and round
Everybody make it loud
Up and down round and round
Everybody Stop
Wait a minute ahhh

Come vibe with us
Ride with us",1714089600,1088,167706.0,0.906,67.0,힙합,78.86029412,21.13970588,6.487543678,2.2916666666666665,고급
Super Shy,NewJeans,78,2023/07/07 0:00,0.18,0.776,0.817,-6.018,0.0748,149.921,"I’m super shy, super shy
But wait a minute while I
Make you mine, make you mine
떨리는 지금도
You’re on my mind
All the time
I wanna tell you but I’m
Super shy, super shy

I’m super shy, super shy
But wait a minute while I
Make you mine, make you mine
떨리는 지금도
You’re on my mind
All the time
I wanna tell you but I’m
Super shy, super shy

And I wanna go out with you
Where you wanna go? (Huh?)
Find a lil spot
Just sit and talk
Looking pretty
Follow me
우리 둘이 나란히
보이지? (봐)
내 눈이 (heh)
갑자기
빛나지
When you say
I’m your dream

You don’t even know my name
Do ya?
You don’t even know my name
Do ya-a?
누구보다도

I’m super shy, super shy
But wait a minute while I
Make you mine, make you mine
떨리는 지금도
You’re on my mind
All the time
I wanna tell you but I’m
Super shy, super shy

I’m super shy, super shy
But wait a minute while I
Make you mine, make you mine
떨리는 지금도
You’re on my mind
All the time
I wanna tell you but I’m
Super shy, super shy

나 원래 말도 잘하고 그런데 왜 이런지
I don’t like that
Something odd about you
Yeah you’re special and you know it
You’re the top babe

I’m super shy, super shy
But wait a minute while I
Make you mine, make you mine
떨리는 지금도
You’re on my mind
All the time
I wanna tell you but I’m
Super shy, super shy

I’m super shy, super shy
But wait a minute while I
Make you mine, make you mine
떨리는 지금도
You’re on my mind
All the time
I wanna tell you but I’m
Super shy, super shy

You don’t even know my name
Do ya?
You don’t even know my name
Do ya-a?
누구보다도
You don’t even know my name
Do ya?
You don’t even know my name
Do ya-a?",1688688000,1122,154666.0,0.515,82.0,k-pop,92.78074866,7.219251337,7.254341614,1.95,중급
